"uri","creators","rkdartists_label","rkdartists_uri"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/11","Karel Appel","Karel Appel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1493","Karel Appel","Karel Appel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/4","Karel Appel","Karel Appel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/5","Karel Appel","Karel Appel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/6","Karel Appel","Karel Appel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/7","Karel Appel","Karel Appel","https://data.rkd.nl/artists/2208"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/94","Theo van Doesburg","Theo van Doesburg","https://data.rkd.nl/artists/23481"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/101","Victor Dolphijn","Victor Dolphijn","https://data.rkd.nl/artists/23572"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/190","Ellsworth Kelly","Ellsworth Kelly","https://data.rkd.nl/artists/43815"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/102","Jacob Dooyewaard","Jacob Dooyewaard","https://data.rkd.nl/artists/23869"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/103","Willem Dooyewaard","Willem Dooyewaard","https://data.rkd.nl/artists/23793"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/104","Willem Dooyewaard","Willem Dooyewaard","https://data.rkd.nl/artists/23793"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/777","Gerhard Richter","Gerhard Richter","https://data.rkd.nl/artists/66689"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/892","Gerhard Richter","Gerhard Richter","https://data.rkd.nl/artists/66689"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/105","Jean Dubuffet","Jean Dubuffet","https://data.rkd.nl/artists/24482"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/108","Jean Dubuffet","Jean Dubuffet","https://data.rkd.nl/artists/24482"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/169","Robert Indiana","Robert Indiana","https://data.rkd.nl/artists/41024"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1540","Georg Baselitz","Georg Baselitz","https://data.rkd.nl/artists/4869"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/811","Georg Baselitz","Georg Baselitz","https://data.rkd.nl/artists/4869"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/871","Georg Baselitz","Georg Baselitz","https://data.rkd.nl/artists/4869"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/894","Georg Baselitz","Georg Baselitz","https://data.rkd.nl/artists/4869"
