"uri","creators","rkdartists_label","rkdartists_uri"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002762","Egberts, Otto","Egberts, Otto","https://data.rkd.nl/artists/25640"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00002763","Egberts, Otto","Egberts, Otto","https://data.rkd.nl/artists/25640"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0567","Jarram, Nour-Eddine","Jarram, Nour-Eddine","https://data.rkd.nl/artists/42009"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0568","Jarram, Nour-Eddine","Jarram, Nour-Eddine","https://data.rkd.nl/artists/42009"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000439","Bogart, Bram","Bogart, Bram","https://data.rkd.nl/artists/9932"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000245.1-2.2","Verdijk, Gerard","Verdijk, Gerard","https://data.rkd.nl/artists/80155"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00000833","Gaag, Lotti van der","Gaag, Lotti van der","https://data.rkd.nl/artists/29843"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/S-00001276","Gaag, Lotti van der","Gaag, Lotti van der","https://data.rkd.nl/artists/29843"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0000.1-2","Claassen, Johan","Claassen, Johan","https://data.rkd.nl/artists/16943"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0090","Claassen, Johan","Claassen, Johan","https://data.rkd.nl/artists/16943"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0092","Claassen, Johan","Claassen, Johan","https://data.rkd.nl/artists/16943"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0094.1-2","Claassen, Johan","Claassen, Johan","https://data.rkd.nl/artists/16943"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0017","Arkel, Dick van","Arkel, Dick van","https://data.rkd.nl/artists/2427"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0019","Arkel, Dick van","Arkel, Dick van","https://data.rkd.nl/artists/2427"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0020","Arkel, Dick van","Arkel, Dick van","https://data.rkd.nl/artists/2427"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0021","Arkel, Dick van","Arkel, Dick van","https://data.rkd.nl/artists/2427"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0022.1-3","Arkel, Dick van","Arkel, Dick van","https://data.rkd.nl/artists/2427"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0023","Arkel, Dick van","Arkel, Dick van","https://data.rkd.nl/artists/2427"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0024","Arkel, Dick van","Arkel, Dick van","https://data.rkd.nl/artists/2427"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0025.1-3","Arkel, Dick van","Arkel, Dick van","https://data.rkd.nl/artists/2427"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0027.1-8","Arago, Riera I","Arago, Riera I","https://data.rkd.nl/artists/203371"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0028.1-8","Arago, Riera I","Arago, Riera I","https://data.rkd.nl/artists/203371"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0040","Bade, David","Bade, David","https://data.rkd.nl/artists/90677"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0046","Bade, David","Bade, David","https://data.rkd.nl/artists/90677"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0048","Ben-Gal, Avner","Ben-Gal, Avner","https://data.rkd.nl/artists/335883"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0054","Beekman, Merina","Beekman, Merina","https://data.rkd.nl/artists/5727"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0067","Bouman, Margreet","Bouman, Margreet","https://data.rkd.nl/artists/11461"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0068","Bouman, Margreet","Bouman, Margreet","https://data.rkd.nl/artists/11461"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0069","Bouman, Margreet","Bouman, Margreet","https://data.rkd.nl/artists/11461"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0074","Brusse, Mark","Brusse, Mark","https://data.rkd.nl/artists/13600"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0075","Brusse, Mark","Brusse, Mark","https://data.rkd.nl/artists/13600"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0076","Brusse, Mark","Brusse, Mark","https://data.rkd.nl/artists/13600"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0077","Brusse, Mark","Brusse, Mark","https://data.rkd.nl/artists/13600"
"http://data.collectienederland.nl/resource/document/stedelijk-museum-schiedam/NOG-0078","Brusse, Mark","Brusse, Mark","https://data.rkd.nl/artists/13600"
