"uri","creators","rkdartists_label","rkdartists_uri"
"http://data.collectienederland.nl/resource/document/rijksakademie/1827","Feniena Sophia Geesink","Feniena Sophia Geesink",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0725","A. de Sitter","A. de Sitter",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0749","A. de Sitter","A. de Sitter",""
"http://data.collectienederland.nl/resource/document/rijksakademie/9152","Johan Royaards","Johan Royaards","https://data.rkd.nl/artists/68679"
"http://data.collectienederland.nl/resource/document/rijksakademie/9153","Johan Royaards","Johan Royaards","https://data.rkd.nl/artists/68679"
"http://data.collectienederland.nl/resource/document/rijksakademie/9154","Johan Royaards","Johan Royaards","https://data.rkd.nl/artists/68679"
"http://data.collectienederland.nl/resource/document/rijksakademie/9157","Johan Royaards","Johan Royaards","https://data.rkd.nl/artists/68679"
"http://data.collectienederland.nl/resource/document/rijksakademie/9550","Johan Royaards","Johan Royaards","https://data.rkd.nl/artists/68679"
"http://data.collectienederland.nl/resource/document/rijksakademie/0731","Herman Habes","Herman Habes","https://data.rkd.nl/artists/35054"
"http://data.collectienederland.nl/resource/document/rijksakademie/0756","Adriana G. Deetman","Adriana G. Deetman",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0736","Petrus van Reen","Petrus van Reen",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0741","Louis H.H. Schutte","Louis H.H. Schutte",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0775","Willem Molin","Willem Molin","https://data.rkd.nl/artists/56695"
"http://data.collectienederland.nl/resource/document/rijksakademie/0917","Frederik Nachtweh","Frederik Nachtweh","https://data.rkd.nl/artists/89220"
"http://data.collectienederland.nl/resource/document/rijksakademie/0918","Frederik Nachtweh","Frederik Nachtweh","https://data.rkd.nl/artists/89220"
"http://data.collectienederland.nl/resource/document/rijksakademie/S016","Jacobus van Looy","Jacobus van Looy","https://data.rkd.nl/artists/50794"
"http://data.collectienederland.nl/resource/document/rijksakademie/8216","Pieter J. Defesche","Pieter J. Defesche",""
"http://data.collectienederland.nl/resource/document/rijksakademie/9139","Erik Thorn Leeson","Erik Thorn Leeson","https://data.rkd.nl/artists/77305"
