entity,count
catharijneconvent-records,148638
mauritshuis-records,1720
moderne-kunst-museum-deventer-records,2776
museum-belvedere-records,3018
museum-de-fundatie-records,3458
rijksakademie-records,8240
stedelijk-museum-schiedam-records,6197
van-abbe-museum-records,6317
