entity,count
catharijneconvent-records,148630
mauritshuis-records,1712
museum-belvedere-records,3016
museum-de-fundatie-records,3450
van-abbe-museum-records,6314
rijksakademie-records,8232
stedelijk-museum-schiedam-records,6158
moderne-kunst-museum-deventer-records,2776

