Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2755123;Groot IJsselmonde;Groot IJsselmonde;Groot IJsselmonde,Westijselmonde,Westijsselmonde;P;PPLX;NL;Netherlands;;11;0599;;;28120;;2;Europe/Amsterdam;2017-03-24;Netherlands;51.88264,4.54937
2755367;Grashoek;Grashoek;;P;PPL;NL;Netherlands;;05;1894;;;1355;;35;Europe/Amsterdam;2017-10-17;Netherlands;51.36083,5.94306
2755410;Gouderak;Gouderak;;P;PPL;NL;Netherlands;;11;1931;;;2635;;-1;Europe/Amsterdam;2017-10-17;Netherlands;51.98417,4.67778
2756169;Elsloo;Elsloo;Aelse,Elslo;P;PPL;NL;Netherlands;;05;0971;;;7220;;70;Europe/Amsterdam;2017-10-17;Netherlands;50.94917,5.77083
2756358;Eenrum;Eenrum;Enram,Ènram;P;PPL;NL;Netherlands;;04;1966;;;1365;;1;Europe/Amsterdam;2019-01-20;Netherlands;53.3625,6.45833
2756418;Eefde;Eefde;;P;PPL;NL;Netherlands;;03;0262;;;3285;;14;Europe/Amsterdam;2017-10-17;Netherlands;52.16667,6.225
2756544;Drumpt;Drumpt;Drumpt,Drumt;P;PPLX;NL;Netherlands;;03;0281;;;2130;;7;Europe/Amsterdam;2017-03-24;Netherlands;51.897,5.41043
2756688;Doonheide;Doonheide;;P;PPL;NL;Netherlands;;06;1652;;;1030;;17;Europe/Amsterdam;2017-03-24;Netherlands;51.56667,5.69444
2757838;Damwâld;Damwald;Damval'd,Damwald,Damwoude,Damwâld,Moarrewald,Moarrewâld,Murmerwoude,Дамвальд;P;PPL;NL;Netherlands;;02;1891;;;5560;;3;Europe/Amsterdam;2019-04-08;Netherlands;53.29046,5.99785
2758360;Breezand;Breezand;;P;PPL;NL;Netherlands;;07;1911;;;3370;;-1;Europe/Amsterdam;2017-10-17;Netherlands;52.89,4.80417
2758393;Bredevoort;Bredevoort;Bradford,Bredevort,Breevoort,Brādford,bu lei de fu te,Бредеворт,布雷德福特;P;PPL;NL;Netherlands;;03;0197;;;1405;;28;Europe/Amsterdam;2017-10-17;Netherlands;51.94167,6.62083
2758549;Boskamp;Boskamp;;P;PPL;NL;Netherlands;;15;1773;;;1150;;4;Europe/Amsterdam;2008-12-21;Netherlands;52.33083,6.12778
2758884;Bitswijk;Bitswijk;;P;PPL;NL;Netherlands;;06;1991;;;4030;;18;Europe/Amsterdam;2022-09-30;Netherlands;51.6687,5.60921
2759105;Bergstoep;Bergstoep;;P;PPL;NL;Netherlands;;11;1931;;;1205;;-1;Europe/Amsterdam;2017-03-24;Netherlands;51.9225,4.78472
2759511;Bakel;Bakel;;P;PPL;NL;Netherlands;;06;1652;;;4140;;23;Europe/Amsterdam;2017-10-17;Netherlands;51.50333,5.74028
2759611;Augustinusga;Augustinusga;Augustinusga,Stynsgea;P;PPL;NL;Netherlands;;02;0059;;;1075;;2;Europe/Amsterdam;2017-10-17;Netherlands;53.21785,6.1617
2759765;Angeren;Angeren;;P;PPL;NL;Netherlands;;03;1705;;;2275;;10;Europe/Amsterdam;2017-10-17;Netherlands;51.91583,5.95833
2759766;Angelslo;Angelslo;Angelslo,Angelsloo;P;PPLX;NL;Netherlands;;01;0114;;;7840;;24;Europe/Amsterdam;2017-03-24;Netherlands;52.7809,6.92645
6640199;Salderes;Salderes;;P;PPLX;NL;Netherlands;;06;0753;;;3240;;15;Europe/Amsterdam;2017-03-24;Netherlands;51.51505,5.38991
6695503;Meerhoven;Meerhoven;;P;PPLX;NL;Netherlands;;06;0772;;;7175;;19;Europe/Amsterdam;2010-05-02;Netherlands;51.44267,5.41102
2743952;Zetten;Zetten;;P;PPL;NL;Netherlands;;03;1734;;;2985;;10;Europe/Amsterdam;2017-10-17;Netherlands;51.92833,5.71389
2744118;Zaandam;Zaandam;Zaandam,Zandam,Zandamas,jandam,zan dan,zan dm,zandamu,Заандам,Зандам,Զանդամ,زان دم,ザーンダム,赞丹,잔담;P;PPL;NL;Netherlands;;07;0479;;;71708;;-1;Europe/Amsterdam;2019-04-17;Netherlands;52.43854,4.82643
2744163;Woudenberg;Woudenberg;;P;PPL;NL;Netherlands;;09;0351;;;11305;;4;Europe/Amsterdam;2017-10-17;Netherlands;52.08083,5.41667
2744317;Wissenkerke;Wissenkerke;Wissekerke;P;PPL;NL;Netherlands;;10;1695;;;1040;;3;Europe/Amsterdam;2017-10-17;Netherlands;51.585,3.74722
2744431;Wildervank;Wildervank;;P;PPL;NL;Netherlands;;04;0047;;;2990;;2;Europe/Amsterdam;2017-10-17;Netherlands;53.08083,6.8625
2744731;Westerhoven;Westerhoven;;P;PPL;NL;Netherlands;;06;1724;;;1635;;27;Europe/Amsterdam;2017-10-17;Netherlands;51.3325,5.39583
2744991;Wassenaar;Wassenaar;;P;PPL;NL;Netherlands;;11;0629;;;25353;;2;Europe/Amsterdam;2017-10-17;Netherlands;52.14583,4.40278
2745726;Veghel;Veghel;Vechel,Vegel,Veghel,Vexel,Вегел,Վեխել;P;PPL;NL;Netherlands;;06;1948;;;25352;;11;Europe/Amsterdam;2017-10-17;Netherlands;51.61667,5.54861
2745783;Veendam;Veendam;;P;PPL;NL;Netherlands;;04;0047;;;28155;;2;Europe/Amsterdam;2017-10-17;Netherlands;53.10667,6.87917
2745906;Vaals;Vaals;Vaals,Vols;P;PPL;NL;Netherlands;;05;0981;;;6970;;203;Europe/Amsterdam;2017-10-17;Netherlands;50.77083,6.01806
2746009;Uddel;Uddel;;P;PPL;NL;Netherlands;;03;0200;;;1865;;32;Europe/Amsterdam;2017-10-17;Netherlands;52.25917,5.78056
2746286;Tinga;Tinga;;P;PPLX;NL;Netherlands;;02;1900;;;2190;;0;Europe/Amsterdam;2017-03-24;Netherlands;53.02064,5.64575
2746935;Spijk;Spijk;Spijk Gn;P;PPL;NL;Netherlands;;04;1979;;;1220;;3;Europe/Amsterdam;2021-07-05;Netherlands;53.39,6.8375
2747151;Slikkerveer;Slikkerveer;Slikkerveer;P;PPLX;NL;Netherlands;;11;0597;;;8750;;-1;Europe/Amsterdam;2017-03-24;Netherlands;51.88531,4.60494
2747425;Schutsboom;Schutsboom;;P;PPL;NL;Netherlands;;06;1771;;;3490;;18;Europe/Amsterdam;2017-03-24;Netherlands;51.46152,5.6226
2747579;Schilberg;Schilberg;;P;PPLX;NL;Netherlands;;05;1711;;;1960;;32;Europe/Amsterdam;2017-03-24;Netherlands;51.09917,5.88611
2747597;Schiebroek;Schiebroek;Schiebroek;P;PPLX;NL;Netherlands;;11;0599;;;16305;;-4;Europe/Amsterdam;2017-03-24;Netherlands;51.95838,4.47124
2747900;Rothem;Rothem;;P;PPL;NL;Netherlands;;05;0938;;;1590;;62;Europe/Amsterdam;2017-03-24;Netherlands;50.87667,5.73889
