Type;
boek;
Bijbel;
facsimilé;
kinderbijbel;
01/Feb;
illustratie;
handschrift;
canonbord;
beeld;
fragment;
retabel;
reliëf;
kruisbeeld;
kandelaar;
verlichting (objectnaam);
reliek;
huisaltaar;
kruis;
bouwfragment;
balksleutel;
devotionalia;
reliekkruis;
pop;
kerstgroep;
lantaarn;
mand;
ton;
voetstuk;
speelgoed;
speelgoedwierookvat;
muziekinstrument;
mantel;
console;
vaandelstandaard;
altaar;
missiekruis;
kroon;
sokkel;
H. Hartbeeld;
medaillon;
kerkmeubilair;
bank;
wang;
altaarkast;
speelgoedaltaarkandelaar;
speelgoedkelk;
tas;
kan;
wierookscheepje;
kleed;
kussen;
ivoor;
tweeluik;
drieluik;
kerkgerei;
paxtafel;
pyxis;
beker;
messenheft;
kelk;
boekopener;
heiligdom;
rozenkrans;
schoorsteenfries;
epitaaf;
gewelfschotel;
tondo;
doopvont;
kruisweg;
tabernakel;
plaquette;
kraagsteen;
preekstoel;
wijwaterbak;
deksel;
graftombe;
miniatuuraltaar;
lamp;
mal;
communiebank;
altaarbank;
altaartombe;
model;
monument;
gravure;
devotieprent;
drukwerk;
bedevaartprent;
staalgravure;
lithografie;
zwarte kunst;
houtsnede;
boekillustratie;
ets;
boekdruk;
houtgravure;
prent;
inschrijfbiljet;
biechtbewijs;
dubbelprent;
stippelgravure;
tekening;
kantprent;
gebed;
aanrakingsreliek;
vormselprent;
prikprent;
collageprent;
borduursel;
chromolithografie;
machinale kantprent;
knipsel;
vouwprent;
communieprent;
waaier;
lijkdicht;
broederschapsprent;
uitklapprent;
moderne druk;
propagandamateriaal;
foto;
geboortegeschenk;
album;
jubileumprent;
proefdruk;
aquatint;
prentbriefkaart;
droge naald;
kopergravure;
lofdicht;
bedevaartvaan;
affiche;
huiszegen;
plattegrond;
nieuwjaarswens;
linoleumsnede;
kerstwens;
ornamentprent;
volksprent;
prentbijbel;
document;
oorkonde;
blauwdruk;
fotogravure;
lichtdruk;
reproductie;
schoolplaat;
kopie;
heliogravure;
kalender;
postpapier;
getuigschrift;
pamflet;
spotprent;
titelpagina;
bijbelprent;
plaat;
belijdenismateriaal;
bouwplaat;
krant;
wenskaart;
munt;
koperplaat;
doopcertificaat;
fotografische druk;
geboortekaart;
kerstkaart;
paaskaart;
schaaftekening;
rotogravure;
gouache;
bidprent;
miniatuur;
communiewens;
archivalia;
charter;
boekbeslag;
liturgica;
palla;
incunabel;
post-incunabel;
kloskant;
Antwerpse kant;
Vlaamse kloskant;
Binche;
machinale kant;
tuledoorstopwerk;
naaldkant;
goudkant;
zilverkant;
lintkant;
Venetiaanse naaldkant;
Cluny;
Engelse kloskant;
torchon;
Engelse kant;
Valenciennes;
filetwerk;
geborduurde kant;
kantwerk;
gehaakte kant;
venise plat;
Hollandse kloskant;
Italiaanse kloskant;
Milanese kloskant;
Mechelse kant;
venise à relief;
Lillekant;
manchet;
tamboureerwerk;
witwerk;
Antwerpse pottenkant;
Brabantse kant;
trollekant;
Brabantse kloskant;
Brusselse kant;
Franse kloskant;
point de Paris;
Argentan;
Franse naaldkant;
alençon;
Flandres sans fond;
Hollandse kant;
Italiaanse lintkant;
Milanees met de veter;
kerktextiel;
gordijn;
tabernakelgordijn;
point coupé;
handdoek;
reticella;
Genuese naaldkant;
Italiaanse naaldkant;
Vlaamse naaldkant;
venise à gros relief;
point de France;
Portugese kloskant;
Antwerpse kloskant;
point de Dresde;
altaardwaal;
dwaal;
richelieuwerk;
broderie anglaise;
appliqué;
Milanese kant;
gemengde kant;
stola;
albe;
blonde;
Oosteuropese kloskant;
application de Bruxelles;
duchesse;
communiebankdwaal;
superplie;
sjabbatlamp;
kroonluchter;
catacombenlamp;
aquamanile;
lavaboketel;
wijwateremmer;
wierookvat;
stamper;
vijzel;
altaarbel;
bel;
processiekruis;
altaarkruis;
altaarkandelaar;
caravacakruis;
zegelstempel;
zegel;
afgietsel;
penning;
gedenkpenning;
plaquettepenning;
historiepenning;
drievuldigheidspenning;
devotiepenning;
draagteken;
schroefpenning;
hanger;
bedevaartspenning;
bidpenning;
bedevaartsinsigne;
St. Ulrichskruis;
begrafenispenning;
reliekmedaillon;
hang- en sluitwerk;
sleutel;
deur;
slot;
deurbeslag;
ampul;
ampullenblad;
pateen;
kelklepel;
ablutiekelk;
chrismatorium;
collecteschaal;
lepel;
ciborie;
foedraal;
wandkandelaar;
Agnus Dei;
monstrans;
ambtsteken;
ring;
reliekhouder;
pijpkandelaar;
godslamp;
altaarvaas;
hostiedoos;
portretpenning;
hostieijzer;
nagel;
klamp;
onderscheiding;
erepenning;
draagpenning;
huwelijkspenning;
pauspenning;
dooppenning;
borstkruis;
stempelplaat;
kraagkandelaar;
stempel;
gelegenheidspenning;
jubileumpenning;
spotpenning;
ridderkruis;
verenigingspenning;
lidmaatschapspenning;
aanwijshand;
noodmunt;
lunulahouder;
pièce de milieu;
Heilig Hart;
devotielicht;
schotel;
puntschotel;
grafplaat;
loodlepel;
garnituur;
gesp;
doos;
