"File","rdf:RDF - edm:ProvidedCHO - rdf:about","rdf:RDF - edm:ProvidedCHO - dc:type - skos:Concept - rdf:about","dc:type_URI","rdf:RDF - edm:ProvidedCHO - dcterms:medium - rdf:resource","dcterms:medium_URI","rdf:RDF - edm:ProvidedCHO - dcterms:medium","rdf:RDF - edm:ProvidedCHO - edmfp:technique - rdf:resource","edmfp:technique_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique","rdf:RDF - edm:ProvidedCHO - edmfp:technique - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description","rdf:RDF - edm:ProvidedCHO - dc:identifier","rdf:RDF - edm:ProvidedCHO - dc:title - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:title","rdf:RDF - edm:ProvidedCHO - edm:type","rdf:RDF - edm:ProvidedCHO - dcterms:created - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:created","rdf:RDF - ore:Aggregation - rdf:about","rdf:RDF - ore:Aggregation - edm:aggregatedCHO - rdf:resource","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:hasView - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownAt - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownBy - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:rights - rdf:resource"
"Item_34264617.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10035","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264618.xml","https://modemuze.nl/localID/europeana-fashion/ZM-17532","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Roze Empire jak voor een meisje met zeer diepe halsuitsnijding, verhoogde taille en zeer lange, over de hand vallende mouwen. Glad aan de voorkant en middenachter met twee stolpplooien. De stof van het jak is een gekalanderde Europese katoendruk. De ondergrond is felroze en over het vlak zijn als het ware exotische toefjes bloemen met blad ‘gestrooid’ omgeven door lichtbruine rondjes met een zwarte arcering. De voering is gemaakt van een roze wollen grein die eveneens gekalanderd is. Het jak sluit middenvoor met behulp van vier haken en ogen. Door de halszoom is een roze koordje geregen dat aangetrokken kan worden. Ter hoogte van de pols is een split gemaakt die niet helemaal doorloopt tot onderaan de mouw. Dit sluit met behulp van twee haken en twee trensjes.

De roze stof is zeldzaam. Alleen in een Zaanse privécollectie is nóg een soortgelijk empire jak, maar dan voor een vrouw, bekend. Verder zijn er tot nu toe alleen nog een paar antieke patchworkdekens bekend waar de stof spaarzaam in voorkomt.","ZM-17532","nl","Roze jak voor een meisje","IMAGE","nl","1790/1820","localID/europeana-fashion/Aggregation_ZM-17532","localID/europeana-fashion/ZM-17532","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZM-17532.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZM-17532.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264618.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10436","","","http://vocab.getty.edu/aat/300231565","textiel","","http://vocab.getty.edu/aat/300053642","geweven","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264618.xml","","","","","","","","http://vocab.getty.edu/aat/300053642","geweven","","","","","","","","","","","","","","","","","","","",""
"Item_34264619.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02248","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Lichtblauwe gewatteerde, doorgestikte (quilten) zijden rok met bladrankenpatroon. De voering is van écru linnen. Wijd model op moderne machiniaal gestikte band. Split van achteren. Waarschijnlijk modern maaksel van 19e eeuwse stof.","ZOV-02248","nl","Lichtblauwe doorgestikte zijden rok","IMAGE","nl","1775/1799","localID/europeana-fashion/Aggregation_ZOV-02248","localID/europeana-fashion/ZOV-02248","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02248.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02248.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264619.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10002","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264620.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02249","","","","http://vocab.getty.edu/aat/300014069","linnen","","","linnen","","nl","nl","Roze zijde rok of wagd met rankenpatroon en boeketjes in rood, geel, groen, blauw, roze, wit en paars. Voering fraise kleurig. Zeer wijd model met smalle, gladde voorbaan; verder in plooien aan de tailleband gezet. Split ter weerszijden.","ZOV-02249","nl","Roze zijde rok of wagd met rankenpatroon","IMAGE","nl","1750/1799","localID/europeana-fashion/Aggregation_ZOV-02249","localID/europeana-fashion/ZOV-02249","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02249.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02249.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264620.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10035","","http://thesaurus.europeanafashion.eu/thesaurus/10355","","linnen","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264621.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02251","","","","http://vocab.getty.edu/aat/300243428","zijde","","","zijde","","nl","nl","Blauw-groene, zeer lichte changeant zijde rok, ongevoerd. Zeer wijd model met voornaad en twee splitten. De achterbaan naar het midden toe geplooid. Buikstuk is glad.Taille en split afgewerkt met blauw band. Splitten links en rechtsvoor sluiting met haak en twee ogen.","ZOV-02251","nl","Rok van blauw changeant-zijde","IMAGE","","","localID/europeana-fashion/Aggregation_ZOV-02251","localID/europeana-fashion/ZOV-02251","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02251.JPG","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02251.JPG","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264621.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10035","","http://thesaurus.europeanafashion.eu/thesaurus/10352","","zijde","","","","","","","","","","","","","","","","","","","","","","",""
