"File","rdf:RDF - edm:ProvidedCHO - rdf:about","rdf:RDF - edm:ProvidedCHO - dc:type - skos:Concept - rdf:about","dc:type_URI","rdf:RDF - edm:ProvidedCHO - dcterms:medium - rdf:resource","dcterms:medium_URI","rdf:RDF - edm:ProvidedCHO - dcterms:medium","rdf:RDF - edm:ProvidedCHO - edmfp:technique - rdf:resource","edmfp:technique_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique","rdf:RDF - edm:ProvidedCHO - edmfp:technique - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description","rdf:RDF - edm:ProvidedCHO - dc:identifier","rdf:RDF - edm:ProvidedCHO - dc:title - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:title","rdf:RDF - edm:ProvidedCHO - edm:type","rdf:RDF - edm:ProvidedCHO - dcterms:created - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:created","rdf:RDF - ore:Aggregation - rdf:about","rdf:RDF - ore:Aggregation - edm:aggregatedCHO - rdf:resource","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:hasView - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownAt - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownBy - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:rights - rdf:resource"
"Item_34264629.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02342","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Sits kassekien of jak. Lila wit gestreept met bloem-, roos-, en stipopdruk. Diepe rechte hals . Voorpanden uit één stuk, rug met middennaad. De plooi middenachter is verwijderd. Schootje onder de twee rugnaden sterk geplooid. Mouw tot de elleboog met slip, puntvorm. Sluiting voorzijde, binnenband en haken en ogen (18). Aan binnenzijde strook papier gespeld waarop geschreven 'Trijntje'.","ZOV-02342","nl","Sits kassekien of jak","IMAGE","nl","1875/1899","localID/europeana-fashion/Aggregation_ZOV-02342","localID/europeana-fashion/ZOV-02342","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02342.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02342.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264629.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264629.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264630.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02360","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Rode handbeschilderde sitsen kassekien of jak met bloemmotief. De voering is gemaakt van grein, een gekalanderde, wollen stof. Voorpanden uit één stuk, rug met middennaad, diepe plooien in de naden. Driekwart halflange mouwen uitlopend in een punt. Voorsluiting met vetergaatjes en veter (15 gaatjes). Diepe rechte hals voor, ondiepe rechte hals achter. Uitlopend voorpanden. De gaatjessluiting is niet origineel, maar later aangebracht. Mogelijk voor een verkleedpartij of toneelopvoering.","ZOV-02360","nl","Rode sitsen kassekien of jak met bloemmotief","IMAGE","nl","1775/1799","localID/europeana-fashion/Aggregation_ZOV-02360","localID/europeana-fashion/ZOV-02360","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02360.JPG","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02360.JPG","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264630.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10002","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264631.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02366","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Blauwe zijden kassekien of jak, met klein geometrisch patroon en rozen in wit en donkerblauw. De voering is gemaakt van lichtblauwe sits. Driekwart model met de voorpanden uit één stuk. Rug met middennaad. In de taille diepe plooien op de zijnaden. Korte mouw met los elleboogstuk gegarneerd met gefronst ruche. Voorsluiting met zeven haken enogen. Binnenbanden (gedeeltelijk vernieuwd) en schuifbandje in de hals.","ZOV-02366","nl","Blauwe zijden kassekien of jak","IMAGE","nl","1800/1824","localID/europeana-fashion/Aggregation_ZOV-02366","localID/europeana-fashion/ZOV-02366","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02366.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02366.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264631.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264632.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02368","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Wit en blauw gestreept zijden kassekien of jak, met streepjespatroon op het blauw en rozenknopjes in het roze, groen en lila op het wit. De voering is van lightgroen gekalanderd linnen. Driekwart model, sterk getailleerd op de zijnaden en een oprijg in de taille. Halflangemouw met een los elleboogstukje, versierd met geplooid rand van dezelfde stof. Voorsluiting met acht haken en ogen, een binnenband en een schuifbandje in de hals. Diep en recht decolleté, de halslijn aan de achterkant heeft een flauwe V-vorm.","ZOV-02368","nl","Wit en blauw gestreept zijden kassekien of jak","IMAGE","nl","1750/1799","localID/europeana-fashion/Aggregation_ZOV-02368","localID/europeana-fashion/ZOV-02368","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02368.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02368.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264632.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264633.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02370","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Roze zijden kassekien of jak, met wit rankenpatroon en boeketjes in rood, geel, groen, roze en paars. De voering is gemaakt van fraisekleurig linnen, gekalanderd. Driekwart model met voorpanden uit één stuk. Rug met middennaad. Plooien op de rugnaden in de taille. Halflange mouw met los elleboogstukje, gegarneerd met gefronste ruche. Voorsluiting van 19 haken en ogen en binnenbanden. Diepe rechte hals.","ZOV-02370","nl","Roze zijden kassekien of jak","IMAGE","nl","1785/1800","localID/europeana-fashion/Aggregation_ZOV-02370","localID/europeana-fashion/ZOV-02370","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02370.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02370.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264633.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264634.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02371","","","","","","","","","","nl","nl","Kassekien of jak van roze damastzijde met een gestrooid rankpatroon, met daartussen boeketten in groen, rood, blauw, geel en paars. Fraisekleurig linnen voering. Driekwart lang model met voorpanden uit één stuk. Op de rug een middennaad en diepe plooien op de zijnaden in de taille. Halflange mouw met losse elleboogstukken, versierd met gefronste ruches. Voorsluiting met acht haken en ogen, een binnenband en een schuifkoordje in de hals. Diepe, rechte halslijn, met aan de achtezijde een flauwe V-vorm.","ZOV-02371","nl","Kassekien of jak van roze damastzijde","IMAGE","","","localID/europeana-fashion/Aggregation_ZOV-02371","localID/europeana-fashion/ZOV-02371","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02371.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02371.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264634.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10002","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264635.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02375","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Jak of kassekien van lichtblauwe zijde met een slingerpatroon van roze  en gevederde golflijnen met daartussen bloemen in wit en donkerbruin. De voering is gemaakt van blauw, gekalanderd linnen. Driekwart lang model met voorpanden uit één stuk, rug met een middennaad en diepe plooien op de taille en de rug. Halflange mouwen, uitlopend in een punt. Voorsluiting met twaalf haken en ogen en binnenband. Diepe rechte halslijn, achter en voor.","ZOV-02375","nl","Jak of kassekien van lichtblauwe zijde met een slingerpatroon","IMAGE","nl","1785/1800","localID/europeana-fashion/Aggregation_ZOV-02375","localID/europeana-fashion/ZOV-02375","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02375.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02375.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264635.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264636.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02376","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Roze zijden kassekien of jak, gevoerd met fraisekleurig, gestreept linnen. Driekwart lang model met voorpanden uit één stuk, met figuurnaden. Rug met middennaad, op taillehoogte op de naden geplooid. Korte mouwen met losse elleboogstukken langs de rande versierd met een gefronste ruche. Voorsluiting van 16 haken en ogen en een binnenband. Een diepe, rechte hals.","ZOV-02376","nl","Roze zijden kassekien of jak","IMAGE","nl","1800/1824","localID/europeana-fashion/Aggregation_ZOV-02376","localID/europeana-fashion/ZOV-02376","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02376.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02376.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264636.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264636.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264637.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02392","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Wit katoenen jak of japonlijfje met streeppatroon en zigzag nopjes-ornament. Zeer kort model, met een vierkante halslijn en een pas voor en achter die in een punt uitlopen. Lange mouwen, aan de kop gegarneerd met een strook van neteldoek. Sluiting op de rug met haakjes en trensjes.","ZOV-02392","nl","Wit katoenen jak of japonlijfje","IMAGE","nl","1820","localID/europeana-fashion/Aggregation_ZOV-02392","localID/europeana-fashion/ZOV-02392","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02392.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02392.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264637.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10002","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264638.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02396","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Zwarte zijden kassekien of jak met pagodemouwen. Rugplooi en randen afgezet met een zwarte bies van glimmende zijde, de hals met een ruche van dezelfde stof. Sluiting alleen van boven met haken en ogen. Dubbele rij van 3 knopen, gegarneerd met koord en git.","ZOV-02396","nl","Zwarte zijden kassekien of jak met pagodemouwen","IMAGE","nl","1860/1870","localID/europeana-fashion/Aggregation_ZOV-02396","localID/europeana-fashion/ZOV-02396","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02396a.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02396a.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264638.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10002","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264639.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02409","","","","","damast","http://thesaurus.europeanafashion.eu/thesaurus/10382","","damast","","nl","nl","Damasten herenkamerjas of japonse rok. Aan de ene zijde damast met smalle blauwe en grijze strepen, met gebrocheerde slinger- en bloempatronen. Aan de andere zijde een ruitpatroon in lila, blauw, geel en groen. Kan aan beide zijden worden gedragen, dubbele knopen, knoopsgaten en zakopeningen. Smal recht boordje. Lange omgeslagen mouw.","ZOV-02409","nl","Damasten herenkamerjas of japonse rok","IMAGE","nl","1800","localID/europeana-fashion/Aggregation_ZOV-02409","localID/europeana-fashion/ZOV-02409","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02409.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02409.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264639.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10072","","","","damast","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264639.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264640.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02410","","","","","damast","http://thesaurus.europeanafashion.eu/thesaurus/10382","","damast","","nl","nl","Japonse rok oftewel heren kamerjas van damast. Rode en blauwe damast met groot bloempatroon aan de ene zijde, aan de andere linnen met lila, roze en gele strepen. Kan aan beide kanten worden gedragen. Dubbele zakopening en knopen. Sluitlussen slechts aan één kant en van latere datum. Smalle kraag zonder revers. Herstellingen aan de voorzijde. Omgeslagen mouwen. Onder wijd door ingezette geren.","ZOV-02410","nl","Japonse rok oftewel heren kamerjas van damast","IMAGE","nl","1800","localID/europeana-fashion/Aggregation_ZOV-02410","localID/europeana-fashion/ZOV-02410","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02410.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02410.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264640.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10046","","","","damast","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264640.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264641.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02412","","","","http://vocab.getty.edu/aat/300243428","zijde","","","zijde","","nl","nl","Blauw zijden herenvest of kamisool met lichtblauw bladmotief. Voering van donkerblauwe zijde. Driekwart lang model met voorpanden die aan de onderkant schuin zijn weggesneden en naar achteren toe uitlopen in een punt. Op de rug een middennaad, met een split onderaan. De mouwen hebben een split die wordt gesloten met twee knopen. Gesloten aan de voorzijde door middel van tien knopen, met halfblinde knoopsgaten. Ronde hals zonder kraag of revers. Twee V-vormig uitgesneden zakken met klep.","ZOV-02412","nl","Blauw zijden herenvest of kamisool met lichtblauw bladmotief","IMAGE","nl","1700/1800","localID/europeana-fashion/Aggregation_ZOV-02412","localID/europeana-fashion/ZOV-02412","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02412.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02412.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264641.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","http://thesaurus.europeanafashion.eu/thesaurus/10352","","zijde","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264642.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02413","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Lakense jas met linnen voering van effen roze laken. Voering rose sits. Voorpanden rond weglopend, zeer smal, jas kan niet gesloten worden. Idem stoffen knopen en loze knoopsgaten. Zeer lange rug, met lage achterwaarts lopende schoudernaad. Onderkant split, rugpanden van onderen los aan de zijpanden geknoopt. Brede zakkleppen met knoop bij insnijding. Onder kleppen lipsluiting. Vrij korte mouw met vastgenaaid beleg, sluiting met twee knopen. Omgeslagen kraag van achteren in een punt uitlopend.","ZOV-02413","nl","Lakense jas met linnen voering","IMAGE","nl","1800","localID/europeana-fashion/Aggregation_ZOV-02413","localID/europeana-fashion/ZOV-02413","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02413.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02413.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264642.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10002","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264643.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02441","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Witte zijden damast hemdrok of kamisool, met bloempatroon. Lang en recht model, voorpanden met aangeknipte punt en een klein splitje. Ronde hals zonder kraag. Rond geknipte mouw met een open oksel en een splitsluiting met knopen. Sluiting met 29 knopen aan de voorzijde. De onderste knoop is verschillende van vorm, maar gelijk aan die van de mouwen. Voering van witte wol.","ZOV-02441","nl","Witte zijden damast hemdrok of kamisool","IMAGE","nl","1750/1775","localID/europeana-fashion/Aggregation_ZOV-02441","localID/europeana-fashion/ZOV-02441","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02441.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02441.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264643.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10029","","","http://vocab.getty.edu/aat/300231565","textiel","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264643.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264644.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02465","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Groene zijden jak of kassekien. Groen gestreepte zijde met doorlopend wit slingerrankpatroon, gevoerd met groen linnen. Driekwart model, sterk getailleerd op de zijnaden. Mouw met los elleboogstukje. Sluiting middenvoor met haken en ogen en linnen banden. Koordje door het rechte diepe decolleté. De halslijn aan de achterzijde heeft een diepe V-vorm.","ZOV-02465","nl","Groene zijden jak of kassekien","IMAGE","nl","1775/1799","localID/europeana-fashion/Aggregation_ZOV-02465","localID/europeana-fashion/ZOV-02465","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02465.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02465.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264644.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264644.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264645.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02466","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Kassekien of jak. Lichtgrijze zijde met rood geslingerd patroon waarover grijs met rode bloemranken. Voering wollen grein, grijs (gekalanderd). Voorpanden uit één stuk, rug met middennaad, in taille op rug- en zijnaden in plooien vallend. Korte mouw, gegarneerd met witte kant (verdwenen). Voorsluiting met haken en ogen een blauw koord. Resten van band of oprijg waardoor lijfje puntvorm kreeg. Diep, afgerond decolleté, afgeronde V-vorm achter.","ZOV-02466","nl","Lichtgrijze zijden kassekien of jak","IMAGE","nl","1750/1799","localID/europeana-fashion/Aggregation_ZOV-02466","localID/europeana-fashion/ZOV-02466","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02466.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02466.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264645.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264645.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264646.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02469","","","","http://vocab.getty.edu/aat/300243428","zijde","","","zijde","","nl","nl","Zijde prunuskleurige kassekien met groen bloemmotief. Gebrocheerde slingermotief en boeketten in groen, lichtblauw, geel, roodbruin en wit. Gevoerd met geel gekalanderd linnen. Driekwart lang model, voorpanden uit twee lengtes, rug met middennaad. Taille en zijnaden geplooid. Voorsluiting met haken en ogen. Halflange mouwen met los elleboogstukje, gegarneerd met bruin gefronst lint. Diep recht decoleté, achter rechthoekig.","ZOV-02469","nl","Zijde prunuskleurige kassekien met groen bloemmotief","IMAGE","nl","1785/1799","localID/europeana-fashion/Aggregation_ZOV-02469","localID/europeana-fashion/ZOV-02469","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02469.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02469.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264646.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10002","","http://thesaurus.europeanafashion.eu/thesaurus/10352","","zijde","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264647.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02497","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Korset of keurslijf van groene damast. De voering is van geruwde linnen. Opgevuld met walvisbalein. Het korset is gemaakt van negen doorstikte pandjes afgewerkt met crème band. Van voren puntig uitlopend, van achteren en opzij in elf smalle pandjes. Arm uitsnijdingen met smal schoudertje dat aan de voorzijde met een bandje is bevestigd. Voorsluiting met veter.

Piccadillekens geven ruimte voor de heupen.","ZOV-02497","nl","Groen damasten korset of keurslijf","IMAGE","nl","1700/1799","localID/europeana-fashion/Aggregation_ZOV-02497","localID/europeana-fashion/ZOV-02497","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02497.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02497.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264647.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10086","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
