type
schilderij
tekening
kunstnijverheid
meubel
foto
collage
grafiek
gouache
sculptuur
Deventer tapijt
tapijt
keramiek
stoel
kleinplastiek
buste
tsuba
kandelaar
kerkkandelaar
muziekinstrument
tafel
zitmeubel
marouflé
relief
vis
broche
sierraad
aquarel
installatie
doos
vaas
maquette
schotel
wandbespanning
documentair object
litho
spotprent
tijdschrift
weekblad
olielamp
lichtbak
icoon
instrument
klavecimbel
reproductie
sieraad
horloge
bord
pot
kleedje
Oosters tapijt
loper
kast
kussen
armband
zakhorloge
dameshorloge
tuinvaas
tuintafel
tuinbank
kamerscherm
ethnografie
graffiguur
fauteuil
bank
bureau
klok
speeldoos
houtsnede
schaal
potloodtekening
krijttekening
bovendeurstuk
schoorsteenstuk
fles
bloemvaas
drinkservies
voorouderbeeld
steendruk
ets
