type,uri
tunics,http://vocab.getty.edu/aat/300209869
busbies,http://vocab.getty.edu/aat/300210724
toverlantaarnplaat,
moederklok voor torenuurwerk,
kop,
paard[circusset],
paraplu-overtrek,
alms dishes,http://vocab.getty.edu/aat/300198819
typewriters,http://vocab.getty.edu/aat/300189134
mirrors,http://vocab.getty.edu/aat/300037682
schootsvel,
cloaks,http://vocab.getty.edu/aat/300046142
pianos,http://vocab.getty.edu/aat/300042909
tea chests,http://vocab.getty.edu/aat/300039143
epaulets,http://vocab.getty.edu/aat/300224235
schavot,
mortars (grinding tools),http://vocab.getty.edu/aat/300024724
trotseerloodje,
planes (tools),http://vocab.getty.edu/aat/300023801
chains of office,http://vocab.getty.edu/aat/300264346
cook stoves,http://vocab.getty.edu/aat/300411465
breischede,
nieuwjaarswens,
correspondence artifacts,http://vocab.getty.edu/aat/300207872
inkttekening,
lichtsculptuur,
keystones,http://vocab.getty.edu/aat/300001183
lichtinstallatie,
catalogs (documents),http://vocab.getty.edu/aat/300026059
grafiekmap,
etchings (prints),http://vocab.getty.edu/aat/300041365
masks (costume),http://vocab.getty.edu/aat/300138758
frames (protective furnishings),http://vocab.getty.edu/aat/300189814
photographs,http://vocab.getty.edu/aat/300046300
bon,
prijscourant,
wine glasses,http://vocab.getty.edu/aat/300043246
dessert forks,http://vocab.getty.edu/aat/300043106
rolmaat,
fauteuils (elbow chairs),http://vocab.getty.edu/aat/300037856
wandbord,
meat grinders,http://vocab.getty.edu/aat/300201098
strongboxes,http://vocab.getty.edu/aat/300198932
keys (adjusting equipment),http://vocab.getty.edu/aat/300251159
corner cupboards,http://vocab.getty.edu/aat/300039285
scheepskanon,
drums (membranophones),http://vocab.getty.edu/aat/300041729
closets (storage spaces),http://vocab.getty.edu/aat/300004467
vests (garments),http://vocab.getty.edu/aat/300209904
halberds,http://vocab.getty.edu/aat/300037010
computer drawings,http://vocab.getty.edu/aat/300076598
brievenbus,
textielsculptuur,
bezwaarschrift,
aangiftebiljet,
weegbrief,
snuffboxes,http://vocab.getty.edu/aat/300196983
flags,http://vocab.getty.edu/aat/300195678
stays (corsets),http://vocab.getty.edu/aat/300000981
soup plates,http://vocab.getty.edu/aat/300198537
serveerschaal,
butter dishes (serving dishes),http://vocab.getty.edu/aat/300042976
milk jugs,http://vocab.getty.edu/aat/300260048
snifters,http://vocab.getty.edu/aat/300197068
fruit knives,http://vocab.getty.edu/aat/300043127
sandglasses,http://vocab.getty.edu/aat/300206197
wandtafel,
gin glasses,http://vocab.getty.edu/aat/300197042
stifthouder,
trumeaux (doorway components),http://vocab.getty.edu/aat/300002914
hats,http://vocab.getty.edu/aat/300046106
walking sticks,http://vocab.getty.edu/aat/300221268
biscuit boxes,http://vocab.getty.edu/aat/300237629
clappers (percussion beaters),http://vocab.getty.edu/aat/300191303
stempel,
invitations,http://vocab.getty.edu/aat/300027083
videoinstallatie,
stone (worked rock),http://vocab.getty.edu/aat/300011176
vervoersbiljet,
courant,
price lists,http://vocab.getty.edu/aat/300027162
inhoudsmaat,
honeypots,http://vocab.getty.edu/aat/300198507
eierdop,
finger bowls,http://vocab.getty.edu/aat/300042958
gravy ladles,http://vocab.getty.edu/aat/300207645
bedrijfswagen[miniatuur],
bavelaars,http://vocab.getty.edu/aat/300443861
standards (identifying artifacts),http://vocab.getty.edu/aat/300251137
speelfiches,
clown[circusset],
lettres de cachet,http://vocab.getty.edu/aat/300027821
glass in concrete (visual works),http://vocab.getty.edu/aat/300391169
octants,http://vocab.getty.edu/aat/300199777
karabijn,
ganzenveer,
trowels (construction tools),http://vocab.getty.edu/aat/300023093
lances (cavalry weapons),http://vocab.getty.edu/aat/300037029
bodebusses,http://vocab.getty.edu/aat/300440734
stoplap,
posters,http://vocab.getty.edu/aat/300027221
facsimiles (reproductions),http://vocab.getty.edu/aat/300121391
doors,http://vocab.getty.edu/aat/300002803
reliëf,
stereoscopic photographs,http://vocab.getty.edu/aat/300162872
stereoscopes,http://vocab.getty.edu/aat/300162919
gutters (building drainage components),http://vocab.getty.edu/aat/300052565
agreements,http://vocab.getty.edu/aat/300027628
casks,http://vocab.getty.edu/aat/300194515
documents (object genre),http://vocab.getty.edu/aat/300026030
plaquettes (sculptures),http://vocab.getty.edu/aat/300190507
fish knives,http://vocab.getty.edu/aat/300043126
dessertcouvert,
notieblaadjeshouder,
hangers (mounting equipment),http://vocab.getty.edu/aat/300440763
hatboxes,http://vocab.getty.edu/aat/300198927
bottles,http://vocab.getty.edu/aat/300045627
akrobaat[circusset],
mantel clocks,http://vocab.getty.edu/aat/300041578
sigarenpijp,
coins (money),http://vocab.getty.edu/aat/300037222
cannons (artillery),http://vocab.getty.edu/aat/300036936
lepeldoos,
theestoof,
pet,
games,http://vocab.getty.edu/aat/300069657
touwslagerswiel,
tondelvuurslag,
spontoons,http://vocab.getty.edu/aat/300037047
vaan,
embroidery (visual works),http://vocab.getty.edu/aat/300264024
woodcuts (prints),http://vocab.getty.edu/aat/300041405
blind stamping,http://vocab.getty.edu/aat/300192907
flyleaves,http://vocab.getty.edu/aat/300195150
stoffen,
coin purses,http://vocab.getty.edu/aat/300215521
auto[miniatuur],
rulers (measuring devices),http://vocab.getty.edu/aat/300266529
