"uri","type","aat_label","aat_uri"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1826","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1639","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1075","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0865","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0584","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0582","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0455","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0139","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0002","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1817","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1741","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1738","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1640","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1459","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1292","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1289","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1086","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0899","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0869","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0815","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0637","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0423","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0409","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0384","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0315","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0236","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0227","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0225","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0008","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/0006","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1816","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1789","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1283","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
"http://data.collectienederland.nl/resource/document/museum-belvedere/1090","schilderij","schilderingen","http://vocab.getty.edu/aat/300033618"
