filename,width,height,orientation
0785,600,601,Portrait
0786,600,605,Portrait
0787,605,600,landscape
0788,612,600,landscape
0789,598,800,Portrait
0790,600,654,Portrait
0791,778,600,landscape
0792,322,800,Portrait
0793,800,544,landscape
0798,600,759,Portrait
0799,600,713,Portrait
0800,600,744,Portrait
0801,600,754,Portrait
0802,465,800,Portrait
0803,600,762,Portrait
0804,726,600,landscape
0805,545,800,Portrait
0806,600,720,Portrait
0807,600,655,Portrait
0808,600,600,square
0809,600,600,square
0810,600,604,Portrait
0814,545,800,Portrait
0815,600,600,square
0816,600,605,Portrait
0817,600,657,Portrait
0818,651,600,landscape
0820,602,600,landscape
0821,600,604,Portrait
0822,600,607,Portrait
0823,603,600,landscape
0824,600,691,Portrait
0825,722,600,landscape
0826,593,800,Portrait
0829,602,600,landscape
0830,600,605,Portrait
0831,600,601,Portrait
0832,591,800,Portrait
0833,666,600,landscape
0835,600,683,Portrait
0836,600,630,Portrait
0839,600,602,Portrait
0840,562,800,Portrait
0842,638,600,landscape
0843,600,678,Portrait
0844,600,763,Portrait
0846,600,616,Portrait
0847,748,600,landscape
0848,600,743,Portrait
0862,606,600,landscape
0866,600,680,Portrait
0868,555,800,Portrait
0887,600,607,Portrait
0908,600,711,Portrait
0926,498,800,Portrait
0931,600,739,Portrait
0932,545,800,Portrait
0933,569,800,Portrait
0934,600,792,Portrait
0937,348,800,Portrait
0938,341,800,Portrait
0939,523,800,Portrait
0940,600,602,Portrait
0941,604,600,landscape
0942,600,752,Portrait
0943,600,688,Portrait
0944,723,600,landscape
0946,600,748,Portrait
0947,600,702,Portrait
0948,600,670,Portrait
0949,800,524,landscape
0950,800,466,landscape
0951,800,497,landscape
0952,800,466,landscape
0955,600,600,square
0961,600,600,square
0964,263,800,Portrait
0965,600,624,Portrait
0967,600,612,Portrait
0968,241,800,Portrait
0969,600,600,square
0970,600,677,Portrait
0981,600,648,Portrait
0990,540,800,Portrait
0991,600,652,Portrait
0992,600,723,Portrait
0993,778,600,landscape
1030,555,800,Portrait
1067,600,685,Portrait
1073,600,741,Portrait
