"File","rdf:RDF - edm:ProvidedCHO - rdf:about","dc:type_literal","rdf:RDF - edm:ProvidedCHO - dc:type - skos:Concept - rdf:about","rdf:RDF - edm:ProvidedCHO - dcterms:medium","rdf:RDF - edm:ProvidedCHO - dcterms:medium - rdf:resource","dcterms:medium_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique - rdf:resource","edmfp:technique_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique","rdf:RDF - edm:ProvidedCHO - dcterms:provenance","rdf:RDF - edm:ProvidedCHO - dc:date","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dc:creator - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dc:description - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description","rdf:RDF - edm:ProvidedCHO - dc:identifier","rdf:RDF - edm:ProvidedCHO - dc:title - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:title","rdf:RDF - edm:ProvidedCHO - edm:type","rdf:RDF - edm:ProvidedCHO - dcterms:created - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:created","rdf:RDF - edm:ProvidedCHO - mrel:dsr - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - mrel:dsr - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dcterms:spatial - edm:Place - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:spatial - edm:Place - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dcterms:isPartOf","rdf:RDF - edm:ProvidedCHO - mrel:spn - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - rdf:about","rdf:RDF - ore:Aggregation - edm:aggregatedCHO - rdf:resource","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:isShownAt - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:rights - rdf:resource","rdf:RDF - ore:Aggregation - edm:hasView - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownBy - edm:WebResource - rdf:about"
"22-11-18_13:54:06/Item_34559571.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10152","","","","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300053659","geregen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559571.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10162","","","","","","gerafeld","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","https://modemuze.nl/localID/europeana-fashion/BK0092","kledingaccessoire","http://thesaurus.europeanafashion.eu/thesaurus/10132","foto","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300046300","","","","1993","1990","nl","Hartman, Petra","Hartman, Petra","nl","","BK0092","nl","'Stenentas met hert'","IMAGE","nl","1990","","","nl","Oosterbeek","Overspel? De relatie tussen kunst en vormgeving","","localID/europeana-fashion/Aggregation_BK0092","localID/europeana-fashion/BK0092","nl","TextielMuseum","https://textielmuseum.nl/collectie/objecten?diw-id=brabantcloud_textielmuseum-objecten_BK0092","http://www.europeanafashion.eu/","Europeana Fashion","http://rightsstatements.org/vocab/InC/1.0/","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=prof/BK0092.jpg","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=prof/BK0092.jpg"
"22-11-18_13:54:06/Item_34559572.xml","","tas","http://thesaurus.europeanafashion.eu/thesaurus/10134","metaal","","","","","","aankoop","","","","","","","","","","","","","","","","","Overspel? De relatie tussen kunst en vormgeving","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10132","acrylverf","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300015058","","","","subsidie Provincie Noord-Brabant","","","","","","","","","","","","","","","","","Het bizarre beeldenbos : beeldende kunst voor kinderen","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10134","glas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","steen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","katoen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","plastic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","foto","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300046300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","metaal","http://thesaurus.europeanafashion.eu/thesaurus/10545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","acrylverf","http://thesaurus.europeanafashion.eu/thesaurus/10602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","glas","http://thesaurus.europeanafashion.eu/thesaurus/10557","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","steen","http://thesaurus.europeanafashion.eu/thesaurus/10561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","katoen","http://thesaurus.europeanafashion.eu/thesaurus/10354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559572.xml","","","","plastic","http://thesaurus.europeanafashion.eu/thesaurus/10597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","https://modemuze.nl/localID/europeana-fashion/BK0093","kledingaccessoire","http://thesaurus.europeanafashion.eu/thesaurus/10132","ijzer","","","","","","1993","1989","nl","Hartman, Petra","Hartman, Petra","nl","Monumentale handtas bestaand uit twee losse tasvormen die met goudkleurig metaaldraad aan elkaar verbonden zijn. De buitenste metaaldraden krullen los naar boven en vormen het 'handvat'. Elke tasvorm is een opgevulde, liggende rechthoek met in de schuine kant een rits. De onderzijde is grof getand. De tassen zijn gemaakt van schilderskatoen, beschilderd met drukke vormen. ","BK0093","nl","'Midwintertas'","IMAGE","nl","1989","","","","","Overspel? De relatie tussen kunst en vormgeving","","localID/europeana-fashion/Aggregation_BK0093","localID/europeana-fashion/BK0093","nl","TextielMuseum","https://textielmuseum.nl/collectie/objecten?diw-id=brabantcloud_textielmuseum-objecten_BK0093","http://www.europeanafashion.eu/","Europeana Fashion","http://rightsstatements.org/vocab/InC/1.0/","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=prof/BK0093.jpg","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=prof/BK0093.jpg"
"22-11-18_13:54:06/Item_34559573.xml","","tas","http://thesaurus.europeanafashion.eu/thesaurus/10134","stras","","","","","","aankoop","","","","","","","","","","","","","","","","","Overspel? De relatie tussen kunst en vormgeving","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10132","acrylverf","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300015058","","","","subsidie Provincie Noord-Brabant","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10134","katoen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","","vernis","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300014974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","","plastic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","","ijzer","http://thesaurus.europeanafashion.eu/thesaurus/10552","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","","stras","http://thesaurus.europeanafashion.eu/thesaurus/10568","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","","acrylverf","http://thesaurus.europeanafashion.eu/thesaurus/10602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","","katoen","http://thesaurus.europeanafashion.eu/thesaurus/10354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","","vernis","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300014974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559573.xml","","","","plastic","http://thesaurus.europeanafashion.eu/thesaurus/10597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
