uri,type
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1347","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1345","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1343","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1341","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1328","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1324","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1320","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1317","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1313","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1395","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1392","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1340","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1337","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1334","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1332","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1329","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1326","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1323","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1321","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1315","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1676","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2255","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2640","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2897","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/285","linocut on paper"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/757","linocut on paper"
