uri,creators
"http://data.collectienederland.nl/resource/document/rijksakademie/0888","Bertha Valkenburg"
"http://data.collectienederland.nl/resource/document/rijksakademie/1112","Bertha Valkenburg"
"http://data.collectienederland.nl/resource/document/rijksakademie/0889","Maurits W. van der Valk"
"http://data.collectienederland.nl/resource/document/rijksakademie/0898","Louis Storm van 's Gravesande"
"http://data.collectienederland.nl/resource/document/rijksakademie/0901","Louis Storm van 's Gravesande"
"http://data.collectienederland.nl/resource/document/rijksakademie/1130","Jan van Oort"
"http://data.collectienederland.nl/resource/document/rijksakademie/0920","Simon Moulijn"
"http://data.collectienederland.nl/resource/document/rijksakademie/0924","Anton Molkenboer"
"http://data.collectienederland.nl/resource/document/rijksakademie/0929","Tiete van der Laars"
"http://data.collectienederland.nl/resource/document/rijksakademie/0930","Tiete van der Laars"
"http://data.collectienederland.nl/resource/document/rijksakademie/0932","Arnold Koning"
"http://data.collectienederland.nl/resource/document/rijksakademie/0933","Ferdinand Hart Nibbrig"
"http://data.collectienederland.nl/resource/document/rijksakademie/0934","Pieter Dupont"
"http://data.collectienederland.nl/resource/document/rijksakademie/0936","Pieter Dupont"
"http://data.collectienederland.nl/resource/document/rijksakademie/0937","Pieter Dupont"
"http://data.collectienederland.nl/resource/document/rijksakademie/0938","Pieter Dupont"
"http://data.collectienederland.nl/resource/document/rijksakademie/0939","Pieter Dupont"
"http://data.collectienederland.nl/resource/document/rijksakademie/0940","Pieter Dupont"
"http://data.collectienederland.nl/resource/document/rijksakademie/3079","Pieter Dupont"
"http://data.collectienederland.nl/resource/document/rijksakademie/0935","Arnold M. Gorter"
"http://data.collectienederland.nl/resource/document/rijksakademie/0956","Johannes Kroon"
"http://data.collectienederland.nl/resource/document/rijksakademie/0974A","Gerard Huijsser"
"http://data.collectienederland.nl/resource/document/rijksakademie/0974B","Gerard Huijsser"
"http://data.collectienederland.nl/resource/document/rijksakademie/0974C","Gerard Huijsser"
"http://data.collectienederland.nl/resource/document/rijksakademie/0974D","Gerard Huijsser"
"http://data.collectienederland.nl/resource/document/rijksakademie/1828","Ernee P. 't Hooft"
"http://data.collectienederland.nl/resource/document/rijksakademie/9144","Johan Sybo Sjollema"
"http://data.collectienederland.nl/resource/document/rijksakademie/9551","Johan Sybo Sjollema"
"http://data.collectienederland.nl/resource/document/rijksakademie/1091","Arina Hugenholtz"
"http://data.collectienederland.nl/resource/document/rijksakademie/1159","Hendrik P. Berlage"
"http://data.collectienederland.nl/resource/document/rijksakademie/1101","Gerarda van der Horst"
"http://data.collectienederland.nl/resource/document/rijksakademie/1108","Henri Koetser"
"http://data.collectienederland.nl/resource/document/rijksakademie/1122","Johan G. C. Gebhard"
"http://data.collectienederland.nl/resource/document/rijksakademie/1127","Marie J. Böhtlingk Prölss"
"http://data.collectienederland.nl/resource/document/rijksakademie/1135","Sara Dekker Sartorius"
"http://data.collectienederland.nl/resource/document/rijksakademie/1137","Bert Nienhuis"
"http://data.collectienederland.nl/resource/document/rijksakademie/1138","Ferdinand G.W. Oldewelt"
"http://data.collectienederland.nl/resource/document/rijksakademie/1141","Pieter G. Maan"
"http://data.collectienederland.nl/resource/document/rijksakademie/1150","J.F. van der Vlis"
"http://data.collectienederland.nl/resource/document/rijksakademie/1156","H.A. Strauss"
"http://data.collectienederland.nl/resource/document/rijksakademie/1158","Salomon Goslinski"
"http://data.collectienederland.nl/resource/document/rijksakademie/1194","Hendrik Willebrord Jansen"
"http://data.collectienederland.nl/resource/document/rijksakademie/9549","Leo Th.J. van Eekelen"
"http://data.collectienederland.nl/resource/document/rijksakademie/9599","Roel Achterberg"
"http://data.collectienederland.nl/resource/document/rijksakademie/9605","Roel Achterberg"
"http://data.collectienederland.nl/resource/document/rijksakademie/9608","Roel Achterberg"
"http://data.collectienederland.nl/resource/document/rijksakademie/9609","Roel Achterberg"
"http://data.collectienederland.nl/resource/document/rijksakademie/9610","Roel Achterberg"
"http://data.collectienederland.nl/resource/document/rijksakademie/9612","Roel Achterberg"
"http://data.collectienederland.nl/resource/document/rijksakademie/9450","Henk P. Pander"
"http://data.collectienederland.nl/resource/document/rijksakademie/3112","Willem H. van den Berg"
"http://data.collectienederland.nl/resource/document/rijksakademie/3134","Willem H. van den Berg"
"http://data.collectienederland.nl/resource/document/rijksakademie/3165","Willem H. van den Berg"
"http://data.collectienederland.nl/resource/document/rijksakademie/3178","August Allebé"
"http://data.collectienederland.nl/resource/document/rijksakademie/3179","August Allebé"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627A","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627B","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627C","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627D","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627E","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627F","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627G","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627H","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627I","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627J","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627K","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627L","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627M","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627N","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627O","Lizzy Ansingh"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627A","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627B","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627C","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627D","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627E","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627F","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627G","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627H","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627I","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627J","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627K","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627L","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627M","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627N","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/3627O","Nelly Bodenheim"
"http://data.collectienederland.nl/resource/document/rijksakademie/S058","Jozef Israëls"
"http://data.collectienederland.nl/resource/document/rijksakademie/4098","Dirk van der Aa"
"http://data.collectienederland.nl/resource/document/rijksakademie/4101","Bernardus Schreuder"
"http://data.collectienederland.nl/resource/document/rijksakademie/4101","Cornelis Ploos van Amstel"
"http://data.collectienederland.nl/resource/document/rijksakademie/5196","Valentijn Bing"
"http://data.collectienederland.nl/resource/document/rijksakademie/5647","G.W. Dijsselhof"
"http://data.collectienederland.nl/resource/document/rijksakademie/5669","Walther Klemm"
"http://data.collectienederland.nl/resource/document/rijksakademie/6007A","Geer Steyn"
"http://data.collectienederland.nl/resource/document/rijksakademie/6007B","Geer Steyn"
"http://data.collectienederland.nl/resource/document/rijksakademie/6007C","Geer Steyn"
"http://data.collectienederland.nl/resource/document/rijksakademie/6682","Willem Thijs"
"http://data.collectienederland.nl/resource/document/rijksakademie/6683","Willem Thijs"
"http://data.collectienederland.nl/resource/document/rijksakademie/9380","A. Lüske"
"http://data.collectienederland.nl/resource/document/rijksakademie/9381","A. Lüske"
"http://data.collectienederland.nl/resource/document/rijksakademie/9104","G. Grevers"
"http://data.collectienederland.nl/resource/document/rijksakademie/9106","G. Grevers"
"http://data.collectienederland.nl/resource/document/rijksakademie/9114","Aart Glansdorp"
"http://data.collectienederland.nl/resource/document/rijksakademie/9115","Aart Glansdorp"
"http://data.collectienederland.nl/resource/document/rijksakademie/9170","Waalko J. Dingemans"
"http://data.collectienederland.nl/resource/document/rijksakademie/9171","Waalko J. Dingemans"
"http://data.collectienederland.nl/resource/document/rijksakademie/9263","Willem Valk"
"http://data.collectienederland.nl/resource/document/rijksakademie/9463","Frederik A. van Oostveen"
"http://data.collectienederland.nl/resource/document/rijksakademie/9618","Willem Smit"
"http://data.collectienederland.nl/resource/document/rijksakademie/9619","Willem Smit"
"http://data.collectienederland.nl/resource/document/rijksakademie/S006","Arie Schippers"
"http://data.collectienederland.nl/resource/document/rijksakademie/S015","Marijke de Vries"
"http://data.collectienederland.nl/resource/document/rijksakademie/S059","Herbert Fiedler"
"http://data.collectienederland.nl/resource/document/rijksakademie/S064","Leo Gestel"
"http://data.collectienederland.nl/resource/document/rijksakademie/S078","R. Kruzdlo"
