uri,creators
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1416","Henk Visch"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1417","Henk Visch"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1177","Joan Jonas"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/119","Charles Eyck"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/120","Charles Eyck"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/12","Shusaku Arakawa"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/121","Jan van Eyk"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/122","Henri Victor Gabriel Le Fauconnier"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/123","Edgar Fernhout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/124","Edgar Fernhout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1546","Edgar Fernhout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1746","Edgar Fernhout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1862","Edgar Fernhout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/713","Edgar Fernhout"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/128","Sam Francis"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/129","Johannes Franken"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/131","Leo Gestel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/134","Juan Gris"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/135","Guercino"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/138","Hans Hartung"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/139","Jan van Heel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1398","Pieter Stoop"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1488","Pieter Stoop"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1632","Pieter Stoop"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/765","Pieter Stoop"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/854","Pieter Stoop"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1403","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1463","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1513","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1514","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1564","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1788","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1789","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/900","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/901","René Daniëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1409","Willem Adams"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/772","Willem Adams"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1418","Thomas van der Linden"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1447","Thomas van der Linden"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1615","Thomas van der Linden"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/142","Georg Hering"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/143","Jan van Herwijnen"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1635","Guido Lippens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1828","Guido Lippens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1829","Guido Lippens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1433","Gerard Verdijk"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1607","Toon Verhoef"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/932","Toon Verhoef"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1489","Jo Baer"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/857","Jo Baer"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1456","Marlene Dumas"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1457","Marlene Dumas"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1634","Marlene Dumas"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1936","Marlene Dumas"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2180","Marlene Dumas"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1460","Jan Roeland"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1472","Nicola de Maria"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1475","Roger Raveel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1476","Roger Raveel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1545","Roger Raveel"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2427","Theo Kuijpers"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1498","David Salle"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1499","Christian Ludwig Attersee"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/15","Sebastinus Johannes Bakermans"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/317","Lucebert"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/318","Lucebert"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/319","Lucebert"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/583","Lucebert"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1512","Bert Hermens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1835","Bert Hermens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1836","Bert Hermens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2396","Bert Hermens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2397","Bert Hermens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2398","Bert Hermens"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1517","Reinier Lucassen"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/738","Reinier Lucassen"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1519","Eugène Leroy"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1627","Walter Dahn"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1536","Per Kirkeby"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/889","Per Kirkeby"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/891","Per Kirkeby"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1539","Alan Charlton"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/724","Alan Charlton"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/813","Alan Charlton"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/910","Alan Charlton"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1549","Eli Content"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1550","Eli Content"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2677","JCJ VANDERHEYDEN"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2690","JCJ VANDERHEYDEN"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3080","JCJ VANDERHEYDEN"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/160","Herman Heijenbrock"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/161","Friso ten Holt"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2093","Ad Snijders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2094","Ad Snijders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2095","Ad Snijders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2713","Ad Snijders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1633","Johan van Oord"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1804","Johan van Oord"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1644","David Robilliard"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1645","David Robilliard"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1653","Harm Brink"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/167","John Philip Hultberg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/168","Raoul Hynckes"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/411","Chris le Roy"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/412","Chris le Roy"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/413","Chris le Roy"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/592","Har Sanders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/171","Isaac Israëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/172","Isaac Israëls"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/486","Friedrich Vordemberge-Gildewart"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/487","Friedrich Vordemberge-Gildewart"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/176","Asger Jorn"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/177","Asger Jorn"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/179","Asger Jorn"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/180","Asger Jorn"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2394","Piet Dirkx"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2395","Piet Dirkx"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/182","Johannes Henricus Jurres"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/183","Wassily Kandinsky"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/184","Eduard Karsen"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/185","Eduard Karsen"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/186","Toon Kelder"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/188","Toon Kelder"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1904","Thomas Schütte"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1875","Joost van Oss"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/191","Conrad Kickert"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1911","Henri Jacobs"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/1912","Henri Jacobs"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/193","Willem Knip"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/194","Oskar Kokoschka"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/195","Oskar Kokoschka"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/198","Herman Kruyder"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/199","Herman Kruyder"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/201","Herman Kruyder"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2","Pierre Alechinsky"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/366","Pieter Ouborg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/368","Pieter Ouborg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/370","Pieter Ouborg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/599","Pieter Ouborg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/622","Pieter Ouborg"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2044","Marc Mulders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2056","Marc Mulders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2136","Marc Mulders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2265","Marc Mulders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2533","Marc Mulders"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/206","Wifredo Lam"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/207","Ger Lataster"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/208","Ger Lataster"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/209","Bart van der Leck"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/210","Bart van der Leck"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/21","Johanna Bauer-Stumpff"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/211","Fernand Léger"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/212","Fernand Léger"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/213","Fernand Léger"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/217","Ernst Leyden"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/22","Jean Bazaine"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/23","Jean Bazaine"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/24","Jean Bazaine"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/25","Jean Bazaine"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/26","Jean Bazaine"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2287","Mariëlle Soons"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2600","Mariëlle Soons"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/701","On Kawara"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/702","On Kawara"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/878","On Kawara"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2432","Michael Raedecker"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2485","Michael Raedecker"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2645","Richard Phillips"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2841","Wilhelm Sasnal"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2842","Wilhelm Sasnal"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2843","Wilhelm Sasnal"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2844","Wilhelm Sasnal"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3366","Wilhelm Sasnal"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3458","Gülsün Karamustafa"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2892","Jan Goedhart"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/2972","Andrzej Wróblewski"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3613","Museum of American Art, Berlin"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3036","Joost van Roojen"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3592","Joost van Roojen"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/408","Joost van Roojen"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3058","Sara Sejin Chang (Sara van der Heide)"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3070","Vangelis Gokas"
"http://data.collectienederland.nl/resource/document/van-abbe-museum/3071","Vangelis Gokas"
